,Topic,Discipline,Quantity
627,0,CHEMISTRY,66
628,1,CHEMISTRY,66
629,2,CHEMISTRY,48
630,3,CHEMISTRY,211
631,4,CHEMISTRY,106
632,5,CHEMISTRY,9
633,6,CHEMISTRY,102
634,7,CHEMISTRY,8
635,8,CHEMISTRY,53
636,9,CHEMISTRY,170
637,10,CHEMISTRY,32
638,11,CHEMISTRY,7
639,12,CHEMISTRY,35
640,13,CHEMISTRY,153
641,14,CHEMISTRY,366
642,15,CHEMISTRY,127
643,16,CHEMISTRY,6
644,17,CHEMISTRY,7
645,18,CHEMISTRY,221
646,19,CHEMISTRY,18
647,20,CHEMISTRY,249
648,21,CHEMISTRY,4
649,22,CHEMISTRY,16
650,23,CHEMISTRY,4
651,24,CHEMISTRY,2
652,25,CHEMISTRY,4
653,26,CHEMISTRY,1
654,27,CHEMISTRY,60
655,28,CHEMISTRY,5
656,29,CHEMISTRY,12
657,30,CHEMISTRY,2
658,31,CHEMISTRY,1
659,32,CHEMISTRY,11
660,33,CHEMISTRY,2
661,34,CHEMISTRY,4
662,35,CHEMISTRY,34
663,36,CHEMISTRY,32
664,37,CHEMISTRY,94
